date,ticker,close,volume
2016-01-04,AAPL,105.35,67649387.0
2016-01-05,AAPL,102.71,55790992.0
2016-01-06,AAPL,100.7,68457388.0
2016-01-07,AAPL,96.45,81094428.0
2016-01-08,AAPL,96.96,70798016.0
2016-01-11,AAPL,98.53,49739377.0
2016-01-12,AAPL,99.96,49154227.0
2016-01-13,AAPL,97.39,62439631.0
2016-01-14,AAPL,99.52,63170127.0
2016-01-15,AAPL,97.13,79833891.0
2016-01-19,AAPL,96.66,53087747.0
2016-01-20,AAPL,96.79,72334416.0
2016-01-21,AAPL,96.3,52161463.0
2016-01-22,AAPL,101.42,65800467.0
2016-01-25,AAPL,99.44,51794525.0
2016-01-26,AAPL,99.99,75077002.0
2016-01-27,AAPL,93.42,133369674.0
2016-01-28,AAPL,94.09,55678825.0
2016-01-29,AAPL,97.34,64416504.0
2016-02-01,AAPL,96.43,40943541.0
2016-02-02,AAPL,94.48,37357215.0
2016-02-03,AAPL,96.35,45964294.0
2016-02-04,AAPL,96.6,46471652.0
2016-02-05,AAPL,94.02,46418064.0
2016-02-08,AAPL,95.01,54021375.0
2016-02-09,AAPL,94.99,44331195.0
2016-02-10,AAPL,94.27,42343601.0
2016-02-11,AAPL,93.7,50074711.0
2016-02-12,AAPL,93.99,40351381.0
2016-02-16,AAPL,96.64,49057916.0
2016-02-17,AAPL,98.12,44863243.0
2016-02-18,AAPL,96.26,39020983.0
2016-02-19,AAPL,96.04,35374173.0
2016-02-22,AAPL,96.88,34280758.0
2016-02-23,AAPL,94.69,31942633.0
2016-02-24,AAPL,96.1,36255745.0
2016-02-25,AAPL,96.76,27582659.0
2016-02-26,AAPL,96.91,28991131.0
2016-02-29,AAPL,96.69,35216277.0
2016-03-01,AAPL,100.53,50407147.0
2016-03-02,AAPL,100.75,33169560.0
2016-03-03,AAPL,101.5,36955742.0
2016-03-04,AAPL,103.01,46055100.0
2016-03-07,AAPL,101.87,35915810.0
2016-03-08,AAPL,101.03,31182194.0
2016-03-09,AAPL,101.12,27201683.0
2016-03-10,AAPL,101.17,33513577.0
2016-03-11,AAPL,102.26,27408237.0
2016-03-14,AAPL,102.52,25076062.0
2016-03-15,AAPL,104.58,40067734.0
2016-03-16,AAPL,105.97,38303493.0
2016-03-17,AAPL,105.8,34420705.0
2016-03-18,AAPL,105.92,44205171.0
2016-03-21,AAPL,105.91,35502678.0
2016-03-22,AAPL,106.72,32444375.0
2016-03-23,AAPL,106.13,25703495.0
2016-03-24,AAPL,105.67,26132955.0
2016-03-28,AAPL,105.19,19411372.0
2016-03-29,AAPL,107.68,31190083.0
2016-03-30,AAPL,109.56,45601149.0
2016-03-31,AAPL,108.99,25888449.0
2016-04-01,AAPL,109.99,25873950.0
2016-04-04,AAPL,111.12,37356204.0
2016-04-05,AAPL,109.81,26578652.0
2016-04-06,AAPL,110.96,26404077.0
2016-04-07,AAPL,108.54,31801870.0
2016-04-08,AAPL,108.66,23581740.0
2016-04-11,AAPL,109.02,29407518.0
2016-04-12,AAPL,110.44,27232325.0
2016-04-13,AAPL,112.04,33257316.0
2016-04-14,AAPL,112.1,25473923.0
2016-04-15,AAPL,109.85,46938969.0
2016-04-18,AAPL,107.48,60821461.0
2016-04-19,AAPL,106.91,32384879.0
2016-04-20,AAPL,107.13,30611030.0
2016-04-21,AAPL,105.97,31552525.0
2016-04-22,AAPL,105.68,33683121.0
2016-04-25,AAPL,105.08,28031588.0
2016-04-26,AAPL,104.35,56016165.0
2016-04-27,AAPL,97.82,114602142.0
2016-04-28,AAPL,94.83,82242690.0
2016-04-29,AAPL,93.74,68531478.0
2016-05-02,AAPL,93.64,48160104.0
2016-05-03,AAPL,95.18,56831277.0
2016-05-04,AAPL,94.19,41025475.0
2016-05-05,AAPL,93.24,35890500.0
2016-05-06,AAPL,92.72,43699886.0
2016-05-09,AAPL,92.79,32936436.0
2016-05-10,AAPL,93.42,33686836.0
2016-05-11,AAPL,92.51,28719109.0
2016-05-12,AAPL,90.34,76314690.0
2016-05-13,AAPL,90.52,44392765.0
2016-05-16,AAPL,93.88,61259756.0
2016-05-17,AAPL,93.49,46916939.0
2016-05-18,AAPL,94.56,42062391.0
2016-05-19,AAPL,94.2,30442100.0
2016-05-20,AAPL,95.22,32025968.0
2016-05-23,AAPL,96.43,38018643.0
2016-05-24,AAPL,97.9,35140174.0
2016-05-25,AAPL,99.62,38642108.0
2016-05-26,AAPL,100.41,56331159.0
2016-05-27,AAPL,100.35,36341240.0
2016-05-31,AAPL,99.86,42307212.0
2016-06-01,AAPL,98.46,29173285.0
2016-06-02,AAPL,97.72,40191600.0
2016-06-03,AAPL,97.92,28504888.0
2016-06-06,AAPL,98.63,23292504.0
2016-06-07,AAPL,99.03,22409450.0
2016-06-08,AAPL,98.94,20848131.0
2016-06-09,AAPL,99.65,26601354.0
2016-06-10,AAPL,98.83,31712936.0
2016-06-13,AAPL,97.34,38020494.0
2016-06-14,AAPL,97.46,31931944.0
2016-06-15,AAPL,97.14,29445227.0
2016-06-16,AAPL,97.55,31326815.0
2016-06-17,AAPL,95.33,61008219.0
2016-06-20,AAPL,95.1,34411901.0
2016-06-21,AAPL,95.91,35546358.0
2016-06-22,AAPL,95.55,29219122.0
2016-06-23,AAPL,96.1,32240187.0
