date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO
2010-01-04,17633200.0,,10829000.0,5277400.0,7599900.0,538700.0
2010-01-05,21496600.0,,10562100.0,7882800.0,8851900.0,301100.0
2010-01-06,19720000.0,,11401400.0,6015100.0,7178800.0,533100.0
2010-01-07,17040400.0,,12857200.0,10371600.0,11030200.0,271800.0
2010-01-08,15986100.0,,12148600.0,6576000.0,9830500.0,289900.0
2010-01-11,16508200.0,,10947200.0,4062700.0,8779400.0,512700.0
2010-01-12,21230700.0,,10939300.0,11268300.0,9096300.0,916700.0
2010-01-13,21639000.0,,10538900.0,5056200.0,10723200.0,943900.0
2010-01-14,15460500.0,,8982400.0,4668900.0,9774900.0,1065400.0
2010-01-15,21216700.0,,16132500.0,7240000.0,15376500.0,158700.0
2010-01-19,26071700.0,,16663600.0,8570100.0,8892600.0,381300.0
2010-01-20,21862600.0,,14080600.0,6625700.0,9074700.0,193800.0
2010-01-21,21719800.0,,17317200.0,5833700.0,9970600.0,338600.0
2010-01-22,31491700.0,,14599200.0,5967600.0,11568900.0,923500.0
2010-01-25,38060700.0,,10109400.0,6719400.0,12023900.0,261400.0
2010-01-26,66682500.0,,13814500.0,14880300.0,9559000.0,765400.0
2010-01-27,61520300.0,,24107700.0,9695000.0,14765300.0,696300.0
2010-01-28,41910800.0,,13856300.0,11638200.0,27293100.0,14457600.0
2010-01-29,44498300.0,,19832000.0,9465700.0,29471300.0,3357000.0
2010-02-01,26781300.0,,18361100.0,7079100.0,37774400.0,509500.0
2010-02-02,24940800.0,,17214200.0,7660900.0,23079700.0,1772900.0
2010-02-03,21976000.0,,14158800.0,7082600.0,12405900.0,1285700.0
2010-02-04,27059000.0,,19169400.0,9534500.0,12784000.0,1376700.0
2010-02-05,30368100.0,,22546000.0,8409900.0,11024800.0,538700.0
2010-02-08,17081100.0,,14861100.0,5947800.0,9890200.0,498300.0
2010-02-09,22603100.0,,23229400.0,18732200.0,9223000.0,189600.0
2010-02-10,13227200.0,,15479300.0,6019100.0,6233200.0,578000.0
2010-02-11,19655200.0,,13413200.0,8491100.0,8343500.0,370000.0
2010-02-12,23409600.0,,17566000.0,8008700.0,8073500.0,163200.0
2010-02-16,19419200.0,,15742100.0,5245900.0,8932700.0,422700.0
2010-02-17,15585600.0,,13285700.0,6831900.0,8944800.0,507700.0
2010-02-18,15100900.0,,11171100.0,8120500.0,9800100.0,461900.0
2010-02-19,14838200.0,,20116900.0,7131600.0,7115600.0,374600.0
2010-02-22,13948700.0,,11966200.0,7176800.0,6807300.0,846500.0
2010-02-23,20539100.0,,13961200.0,7703000.0,7068200.0,1820200.0
2010-02-24,16448800.0,,14141300.0,4887700.0,7389900.0,852300.0
2010-02-25,23754500.0,,12305700.0,6592200.0,9533400.0,2319700.0
2010-02-26,18123600.0,,14675200.0,6351700.0,5721600.0,280700.0
2010-03-01,19646200.0,,9501600.0,5638400.0,13296500.0,872200.0
2010-03-02,20233800.0,,10419300.0,7219100.0,12097500.0,981000.0
2010-03-03,13287600.0,,13975800.0,5655600.0,6440400.0,1063400.0
2010-03-04,13072900.0,,13258800.0,6127000.0,7509700.0,396600.0
2010-03-05,32129300.0,,15291700.0,6529100.0,6769300.0,376700.0
2010-03-08,15353200.0,,8986400.0,4409300.0,5605900.0,222000.0
2010-03-09,32866400.0,,12287800.0,5095400.0,6070800.0,922700.0
2010-03-10,21293500.0,,17001000.0,4620700.0,5625700.0,544900.0
2010-03-11,14489300.0,,11900500.0,4346900.0,7240800.0,394700.0
2010-03-12,14868700.0,,33828600.0,3601400.0,6150800.0,498400.0
2010-03-15,17625100.0,,15406400.0,7051800.0,6329200.0,179200.0
2010-03-16,15961000.0,,12421400.0,6256500.0,4132500.0,162300.0
2010-03-17,16105600.0,,15366100.0,5348600.0,4358800.0,309400.0
2010-03-18,12218200.0,,32043300.0,6442600.0,5021300.0,211200.0
2010-03-19,19980200.0,,34032000.0,18901000.0,8905000.0,636500.0
2010-03-22,16300700.0,,15663600.0,8837000.0,5383400.0,473400.0
2010-03-23,21515400.0,,9704400.0,5024800.0,4213100.0,281900.0
2010-03-24,21349300.0,,13205700.0,9367100.0,4696400.0,153500.0
2010-03-25,19367300.0,,17738200.0,8863000.0,16209600.0,583500.0
2010-03-26,22888400.0,,25017700.0,5627100.0,6565700.0,525000.0
2010-03-29,19312300.0,,22003700.0,4268700.0,4626900.0,296100.0
2010-03-30,18832500.0,,27988900.0,4360400.0,6192700.0,353900.0
2010-03-31,15380700.0,,15870300.0,4975100.0,4600600.0,662000.0
2010-04-01,21540900.0,,12903500.0,5916500.0,8785800.0,324600.0
2010-04-05,24446700.0,,11130400.0,3679800.0,5816500.0,612000.0
2010-04-06,15964900.0,,15102300.0,3947200.0,7950300.0,235800.0
2010-04-07,22446500.0,,20577100.0,4573500.0,5945400.0,144600.0
2010-04-08,20463900.0,,15111200.0,4367700.0,12689100.0,140200.0
2010-04-09,11935100.0,,11637500.0,3585500.0,6011100.0,198300.0
2010-04-12,11893800.0,,13458100.0,5588600.0,5445300.0,286700.0
2010-04-13,10936100.0,,14442000.0,4710500.0,4785500.0,236700.0
2010-04-14,14431300.0,,19029100.0,5183600.0,7900300.0,478300.0
2010-04-15,13456600.0,,15013700.0,4636700.0,7829600.0,614800.0
2010-04-16,26805200.0,,16562700.0,7315800.0,8396800.0,343900.0
2010-04-19,20247300.0,,18932400.0,4270300.0,6022000.0,486700.0
2010-04-20,26368800.0,,13302000.0,7220000.0,4311700.0,850600.0
2010-04-21,35085400.0,,26172500.0,13763400.0,7374400.0,540200.0
2010-04-22,28336600.0,,16797800.0,10389400.0,15165800.0,644100.0
2010-04-23,28462700.0,,19164400.0,7107600.0,18975200.0,188600.0
2010-04-26,17109600.0,,19657700.0,6157000.0,9318300.0,255000.0
2010-04-27,25333700.0,,21777100.0,6178400.0,8639000.0,250600.0
2010-04-28,27085800.0,,19404500.0,6236100.0,9235300.0,313900.0
2010-04-29,19958600.0,,19325100.0,4342600.0,6314200.0,318500.0
